,60/40,BTC,ETH,HFs,PE,RealEstate,Macro,SG CTA,Commodities,Gold
2015-01-28,265.4428711958836,235.94,23.178667476830153,1215.77,30.290374755859375,19.49757003784172,1020.893,2342.925,19.241827011108363,123.41999816894531
2015-01-29,266.4864495632969,234.12,22.999871279458656,1216.01,30.539567947387695,19.562644958496012,1020.893,2349.104,19.186637878417933,120.76000213623047
2015-01-30,265.4791876646758,229.67,22.562704752918457,1214.91,30.23499298095703,19.247793197631754,1020.893,2341.603,19.275943756103477,123.44999694824219
2015-02-02,267.25602959855894,227.3,22.32987673765997,1213.9,30.622623443603516,19.247793197631754,1020.893,2336.621,20.06568717956539,122.41999816894531
2015-02-03,268.58645593012,227.86,22.384890952235814,1218.4,31.23175048828125,19.380729675292883,1020.893,2316.368,20.721466064453086,121.05000305175781
2015-02-04,268.1623629314193,224.98,22.10196070584575,1218.67,30.92718505859375,19.310770034789957,1020.893,2323.241,20.295486450195273,121.58000183105469
2015-02-05,269.3580779965805,218.76,21.49090996537833,1223.32,31.342500686645508,19.55565071105949,1020.893,2313.919,20.435972213745078,121.79000091552734
2015-02-06,267.69103498084695,223.37,21.9437948389402,1223.91,31.065628051757812,19.09106636047355,1020.893,2302.492,20.44099235534664,118.63999938964844
2015-02-09,266.92727940155555,221.0,21.71096682368171,1221.12,31.065628051757812,18.960931777954023,1020.893,2284.433,20.757083892822227,119.16999816894531
2015-02-10,268.3467336917381,219.7,21.58325525413064,1222.84,31.121000289916992,18.98192214965812,1020.893,2294.613,20.44099235534664,118.47000122070312
2015-02-11,268.39952921599865,219.39,21.552800956776153,1224.12,31.037939071655273,18.918949127197184,1020.893,2302.61,20.2152061462402,117.06999969482422
2015-02-12,269.9828707701335,222.2,21.828854426344233,1226.03,31.50862693786621,19.1498432159423,1020.893,2300.607,20.66175651550289,117.33999633789062
2015-02-13,270.2882613584994,234.25,23.01264243641376,1228.04,31.702442169189453,19.07287788391105,1020.893,2299.257,20.877510070800742,117.9800033569336
2015-02-16,270.2882613584994,237.01,23.283783922537562,1228.04,31.702442169189453,19.07287788391105,1020.893,2296.845,20.877510070800742,117.9800033569336
2015-02-17,269.7810465521666,241.53,23.727827225899745,1229.15,31.84088134765625,19.044885635375895,1020.893,2289.241,20.907608032226527,116.01000213623047
2015-02-18,270.30865401642154,233.48,22.936997891371973,1230.93,31.923938751220703,18.97492980957023,1020.893,2300.368,20.6567344665527,116.33999633789062
2015-02-19,269.92124725338556,240.91,23.666918631190775,1231.82,32.034698486328125,18.8629779815673,1020.893,2305.001,20.52979660034176,115.94000244140625
2015-02-20,270.8380764634426,244.84,24.05300052991054,1232.96,32.145450592041016,18.960931777954016,1020.893,2308.815,20.53631973266598,115.27999877929688
2015-02-23,271.3068148877148,240.42,23.618781193436902,1233.86,32.00701141357422,19.079879760742102,1020.893,2323.185,20.375768661498988,115.43000030517578
2015-02-24,272.485077727169,239.34,23.51268235104063,1235.17,32.31157302856445,18.91195678710929,1020.893,2329.889,20.375768661498988,115.26000213623047
2015-02-25,272.4458421911247,237.97,23.37809400466758,1236.32,32.33926010131836,18.934347152709876,1020.893,2325.275,20.661756515502894,115.69999694824219
2015-02-26,271.6093632836976,236.5,23.233681691405987,1237.68,32.25620651245117,18.765024185180582,1020.893,2340.715,20.42594146728512,116.06999969482422
