,60/40,BTC,ETH,HFs,PE,RealEstate,SG Macro,SG CTA,Commodities,Gold
2001-05-15,,,,,,5.210890894877961,118.13231,1116.683001,,
2001-05-16,,,,,,5.223028663414552,118.13231,1113.433454,,
2001-05-17,,,,,,5.260122603327945,118.13231,1109.380556,,
2001-05-18,,,,,,5.293841390434159,118.13231,1114.78324,,
2001-05-21,,,,,,5.309350533974208,118.13231,1114.326178,,
2001-05-22,,,,,,5.33430292754729,118.13231,1123.207357,,
2001-05-23,,,,,,5.364651913734928,118.13231,1122.825467,,
2001-05-24,,,,,,5.382857779497371,118.13231,1120.961576,,
2001-05-25,,,,,,5.368022344287456,118.13231,1122.329149,,
2001-05-28,,,,,,5.368022344287456,118.13231,1121.880218,,
2001-05-29,,,,,,5.3511626359173725,118.13231,1122.60944,,
2001-05-30,,,,,,5.314070899722816,118.13231,1120.184603,,
2001-05-31,,,,,,5.336326571073504,120.14012,1126.256003,,
2001-06-01,,,,,,5.341045677554207,120.14012,1117.527519,,
2001-06-04,,,,,,5.356556080362162,120.14012,1115.862403,,
2001-06-05,,,,,,5.388255001745883,120.14012,1108.174111,,
2001-06-06,,,,,,5.4084845110345405,120.14012,1111.653778,,
2001-06-07,,,,,,5.415903487907404,120.14012,1113.410191,,
2001-06-08,,,,,,5.4066409428189965,120.14012,1114.300919,,
2001-06-11,,,,,,5.452949260823362,120.14012,1117.93354,,
2001-06-12,,,,,,5.499260726997496,120.14012,1114.691533,,
2001-06-13,,,,,,5.512880968677356,120.14012,1113.186699,,
2001-06-14,,,,,,5.496533782345337,120.14012,1105.049305,,
2001-06-15,,,,,,5.4781478412722215,120.14012,1107.502514,,
2001-06-18,,,,,,5.508112750748289,120.14012,1106.627587,,
2001-06-19,,,,,,5.502663268881647,120.14012,1109.449487,,
2001-06-20,,,,,,5.554423587288469,120.14012,1109.970929,,
2001-06-21,,,,,,5.575533324843976,120.14012,1109.071852,,
2001-06-22,,,,,,5.550336633296976,120.14012,1106.598622,,
2001-06-25,,,,,,5.5176454088027045,120.14012,1105.746541,,
2001-06-26,,,,,,5.580980917808756,120.14012,1105.3153,,
2001-06-27,,,,,,5.55374169371694,120.14012,1108.918627,,
2001-06-28,,,,,,5.601413798864361,120.14012,1116.858485,,
2001-06-29,,,,,,5.606860132561236,120.14012,1112.860131,,
2001-07-02,,,,,,5.649083385475969,120.14012,1111.19084,,
2001-07-03,,,,,,5.655892247047993,120.14012,1109.401823,,
2001-07-04,,,,,,5.655892247047993,120.14012,1109.213225,,
2001-07-05,,,,,,5.635463773430062,120.14012,1122.19102,,
2001-07-06,,,,,,5.627292383982888,120.14012,1113.494039,,
2001-07-09,,,,,,5.526500580723263,120.14012,1112.525299,,
2001-07-10,,,,,,5.533993224768675,120.14012,1108.019572,,
2001-07-11,,,,,,5.4890436568357375,120.14012,1100.174793,,
2001-07-12,,,,,,5.542845248519469,120.14012,1098.381509,,
2001-07-13,,,,,,5.565318143584077,120.14012,1104.312769,,
2001-07-16,,,,,,5.559189916315673,120.14012,1106.289489,,
2001-07-17,,,,,,5.561913083164111,120.14012,1103.523765,,
2001-07-18,,,,,,5.59732747450682,120.14012,1103.987245,,
2001-07-19,,,,,,5.571447630120387,120.14012,1100.840882,,
2001-07-20,,,,,,5.5571461245029505,120.14012,1093.685417,,
2001-07-23,,,,,,5.550336633296974,120.14012,1100.170971,,
2001-07-24,,,,,,5.506069588569517,120.14012,1101.381159,,
2001-07-25,,,,,,5.499260726997493,120.14012,1099.475769,,
2001-07-26,,,,,,5.536034498045583,120.14012,1097.848544,,
2001-07-27,,,,,,5.542845248519468,120.14012,1097.025158,,
2001-07-30,,,,,,5.495853148041713,120.14012,1102.77357,,
2001-07-31,,,,,,5.51015654256101,123.26811,1104.736507,,
2001-08-01,,,,,,5.533310701563193,123.26811,1106.713985,,
2001-08-02,,,,,,5.566680041825272,123.26811,1094.252386,,
2001-08-03,,,,,,5.594603678024429,123.26811,1098.016615,,
2001-08-06,,,,,,5.608224549338244,123.26811,1100.047945,,
2001-08-07,,,,,,5.612310244061829,123.26811,1096.065772,,
2001-08-08,,,,,,5.627292383982886,123.26811,1104.253383,,
2001-08-09,,,,,,5.6524897051638385,123.26811,1109.719438,,
2001-08-10,,,,,,5.686539050095585,123.26811,1111.128781,,
2001-08-13,,,,,,5.688585360444121,123.26811,1117.184433,,
2001-08-14,,,,,,5.7158245845359374,123.26811,1109.386486,,
2001-08-15,,,,,,5.743066327163567,123.26811,1110.817593,,
2001-08-16,,,,,,5.776435667425646,123.26811,1115.249756,,
2001-08-17,,,,,,5.785287061542487,123.26811,1130.339085,,
2001-08-20,,,,,,5.802314252544174,123.26811,1122.607564,,
2001-08-21,,,,,,5.858838381442388,123.26811,1118.061005,,
2001-08-22,,,,,,5.849986357691595,123.26811,1113.119175,,
2001-08-23,,,,,,5.832961055591769,123.26811,1114.310213,,
2001-08-24,,,,,,5.778476940702556,123.26811,1105.562878,,
2001-08-27,,,,,,5.809806896589587,123.26811,1101.958743,,
2001-08-28,,,,,,5.781880741854615,123.26811,1111.689038,,
2001-08-29,,,,,,5.71242078338388,123.26811,1116.280314,,
2001-08-30,,,,,,5.67360196125516,123.26811,1133.872892,,
2001-08-31,,,,,,5.659302344539584,125.55082,1125.017344,,
2001-09-03,,,,,,5.659302344539584,125.55082,1126.569868,,
2001-09-04,,,,,,5.662704886423735,125.55082,1087.038532,,
2001-09-05,,,,,,5.61639656841937,125.55082,1088.669089,,
2001-09-06,,,,,,5.5660019260574645,125.55082,1103.355235,,
2001-09-07,,,,,,5.5299062707771816,125.55082,1120.181403,,
2001-09-10,,,,,,5.5047064310604155,125.55082,1116.21596,,
2001-09-11,,,,,,5.5047064310604155,125.55082,1140.87317,,
2001-09-12,,,,,,5.5047064310604155,125.55082,1142.709976,,
2001-09-13,,,,,,5.5047064310604155,125.55082,1151.988781,,
2001-09-14,,,,,,5.5047064310604155,125.55082,1167.989905,,
2001-09-17,,,,,,5.291549522843794,125.55082,1168.258543,,
2001-09-18,,,,,,5.367822120690273,125.55082,1161.92658,,
2001-09-19,,,,,,5.3051685052557485,125.55082,1162.391351,,
