Date,Daily ROR,Index Value
01/07/2022,-0.15%,1423.14
01/06/2022,-0.14%,1425.27
01/05/2022,-0.32%,1427.29
01/04/2022,0.03%,1431.92
01/03/2022,0.05%,1431.54
12/31/2021,-0.04%,1430.87
12/30/2021,0.06%,1431.37
12/29/2021,0.08%,1430.53
12/28/2021,0.00%,1429.43
12/27/2021,0.12%,1429.44
12/24/2021,0.02%,1427.68
12/23/2021,0.09%,1427.36
12/22/2021,0.24%,1426.14
12/21/2021,0.40%,1422.7
12/20/2021,-0.35%,1416.96
12/17/2021,-0.05%,1421.88
12/16/2021,-0.15%,1422.52
12/15/2021,0.19%,1424.64
12/14/2021,-0.28%,1421.94
12/13/2021,-0.23%,1426
12/10/2021,-0.04%,1429.35
12/09/2021,-0.03%,1429.93
12/08/2021,0.04%,1430.32
12/07/2021,0.53%,1429.74
12/06/2021,0.02%,1422.2
12/03/2021,-0.14%,1421.85
12/02/2021,0.05%,1423.78
12/01/2021,-0.07%,1423.09
11/30/2021,-0.38%,1424.12
11/29/2021,0.10%,1429.59
11/26/2021,-0.79%,1428.2
11/25/2021,-0.02%,1439.58
11/24/2021,0.09%,1439.93
11/23/2021,-0.11%,1438.66
11/22/2021,-0.12%,1440.26
11/19/2021,-0.21%,1442
11/18/2021,-0.07%,1445.02
11/17/2021,-0.14%,1446.08
11/16/2021,0.06%,1448.13
11/15/2021,-0.02%,1447.25
11/12/2021,0.16%,1447.59
11/11/2021,0.03%,1445.33
11/10/2021,-0.17%,1444.88
11/09/2021,-0.06%,1447.28
11/08/2021,0.05%,1448.17
11/05/2021,-0.01%,1447.42
11/04/2021,0.12%,1447.51
11/03/2021,0.12%,1445.78
11/02/2021,0.02%,1444.05
11/01/2021,0.07%,1443.81
10/29/2021,-0.04%,1442.79
10/28/2021,0.18%,1443.37
10/27/2021,-0.10%,1440.75
10/26/2021,0.08%,1442.25
10/25/2021,0.06%,1441.11
10/22/2021,-0.01%,1440.28
10/21/2021,-0.05%,1440.41
10/20/2021,0.08%,1441.15
10/19/2021,0.12%,1440.04
10/18/2021,0.05%,1438.29
10/15/2021,0.19%,1437.61
10/14/2021,0.23%,1434.88
10/13/2021,0.03%,1431.58
10/12/2021,0.04%,1431.2
10/11/2021,-0.10%,1430.66
10/08/2021,-0.03%,1432.11
10/07/2021,0.20%,1432.58
10/06/2021,-0.09%,1429.71
10/05/2021,0.08%,1430.93
10/04/2021,-0.15%,1429.83
10/01/2021,0.14%,1431.91
09/30/2021,0.02%,1429.88
09/29/2021,-0.06%,1429.56
09/28/2021,-0.44%,1430.35
09/27/2021,-0.03%,1436.7
09/24/2021,-0.01%,1437.09
09/23/2021,0.22%,1437.23
09/22/2021,0.20%,1434.05
09/21/2021,0.09%,1431.13
09/20/2021,-0.50%,1429.88
09/17/2021,-0.09%,1437.09
09/16/2021,0.02%,1438.42
09/15/2021,-0.03%,1438.09
09/14/2021,0.01%,1438.48
09/13/2021,0.08%,1438.32
09/10/2021,0.02%,1437.17
09/09/2021,-0.03%,1436.93
09/08/2021,-0.12%,1437.3
09/07/2021,-0.06%,1439.09
09/06/2021,0.01%,1439.88
09/03/2021,-0.01%,1439.74
09/02/2021,0.15%,1439.84
09/01/2021,0.17%,1437.75
08/31/2021,0.08%,1435.33
08/30/2021,0.13%,1434.19
08/27/2021,0.15%,1432.35
08/26/2021,-0.06%,1430.21
08/25/2021,0.13%,1431.11
08/24/2021,0.20%,1429.23
08/23/2021,0.27%,1426.36
08/20/2021,0.06%,1422.45
08/19/2021,-0.15%,1421.57
08/18/2021,-0.06%,1423.75
08/17/2021,-0.17%,1424.65
08/16/2021,-0.09%,1427.09
08/13/2021,-0.03%,1428.43
08/12/2021,0.01%,1428.81
08/11/2021,0.06%,1428.69
08/10/2021,-0.04%,1427.88
08/09/2021,0.03%,1428.41
08/06/2021,0.00%,1428
08/05/2021,0.12%,1428
08/04/2021,-0.05%,1426.3
08/03/2021,0.08%,1427.01
08/02/2021,0.02%,1425.91
07/30/2021,-0.08%,1425.63
07/29/2021,0.19%,1426.7
07/28/2021,0.06%,1424.01
07/27/2021,-0.24%,1423.12
07/26/2021,-0.15%,1426.52
07/23/2021,0.09%,1428.63
07/22/2021,0.14%,1427.37
07/21/2021,0.33%,1425.37
07/20/2021,0.14%,1420.7
