,60/40,BTC,ETH,HFs,PE,RealEstate,SG Macro,SG CTA,Commodities,Gold
2006-08-07,139.00492773194702,,,1197.53,,12.965916607626081,265.63937,1545.789327,48.998375487636984,64.5
2006-08-08,138.6944991950291,,,1196.38,,12.753815565032063,265.63937,1544.22808,48.77881985848384,63.970001220703125
2006-08-09,138.38828328047663,,,1195.63,,12.635597995469029,265.63937,1547.826132,48.998375487636984,64.62999725341797
2006-08-10,138.65483021636942,,,1193.72,,12.661677437571019,265.63937,1537.177088,47.728787979501824,63.25
2006-08-11,138.242257594229,,,1192.61,,12.557369743307769,265.63937,1541.911593,47.5856001589963,62.709999084472656
2006-08-14,138.21048521887985,,,1192.56,,12.673849522909398,265.63937,1541.634049,46.755120267749874,62.25
2006-08-15,139.463996719963,,,1196.68,,12.821622114497238,265.63937,1541.079061,46.63102439940625,62.0099983215332
2006-08-16,140.3916132838511,,,1201.45,,12.856386728601997,265.63937,1538.490048,46.24919628042076,62.4900016784668
2006-08-17,140.59158247441565,,,1201.71,,12.870296603901783,265.63937,1527.65908,45.56190056826233,61.029998779296875
2006-08-18,141.17079115367358,,,1202.51,,12.873777220896951,265.63937,1525.718953,45.69554059197812,61.040000915527344
2006-08-21,140.87701696416022,,,1201.6,,12.948532411671573,265.63937,1530.647025,46.23010432825886,62.439998626708984
2006-08-22,140.89125792452964,,,1201.74,,13.06501470980938,265.63937,1528.657184,46.35420019660247,62.04999923706055
2006-08-23,140.6028664513383,,,1199.59,,12.918974871110596,265.63937,1525.385857,45.84827256785583,61.83000183105469
2006-08-24,140.58683175120484,,,1200.53,,12.979826482925873,265.63937,1522.365593,46.34465239981275,61.75
2006-08-25,140.76632624389077,,,1201.09,,12.965916607626086,265.63937,1524.527353,46.23964848363104,61.77000045776367
2006-08-28,141.16102426742054,,,1201.85,,13.12586254382039,265.63937,1525.79271,45.09416048525703,61.0
2006-08-29,141.30646779917734,,,1203.26,,13.12586254382039,265.63937,1523.763406,44.87460485610389,60.939998626708984
2006-08-30,141.4272798990923,,,1205.35,,13.221482547544692,265.63937,1529.614657,44.8650607007317,61.41999816894531
2006-08-31,141.49017690488608,,,1206.37,,13.221482547544692,265.71685,1534.310574,44.98915656907532,62.290000915527344
2006-09-01,142.07985925853768,,,1208.49,,13.155417565845193,265.71685,1535.752826,44.38777282093669,62.13999938964844
2006-09-04,142.07985925853768,,,1208.49,,13.155417565845193,265.71685,1534.831375,44.38777282093669,62.13999938964844
2006-09-05,142.05487029111274,,,1210.22,,13.266681457026422,265.71685,1527.95533,44.12049277350509,63.36000061035156
2006-09-06,141.26193894010953,,,1206.81,,13.198877426097427,265.71685,1524.716065,43.73866101310206,62.86000061035156
2006-09-07,140.9148271533262,,,1204.54,,13.113689199213919,265.71685,1514.241265,43.43319706134665,61.25
2006-09-08,141.20992139746136,,,1204.81,,13.247556952574325,265.71685,1512.621027,42.67908133733031,60.63999938964844
2006-09-11,141.19026842797254,,,1202.87,,13.266681457026422,265.71685,1510.836135,41.91542145794179,58.5
2006-09-12,142.17864282379398,,,1205.98,,13.43879821929102,265.71685,1518.52629,41.39994967382296,58.31999969482422
2006-09-13,142.57727760363102,,,1207.53,,13.560490109508784,265.71685,1519.725926,41.30449355443097,58.619998931884766
2006-09-14,142.47305025717182,,,1207.47,,13.560490109508784,265.71685,1524.057145,40.445373914232924,57.189998626708984
2006-09-15,142.63943421324439,,,1207.57,,13.595255982881634,265.71685,1521.313842,40.283097782983035,57.400001525878906
2006-09-18,142.67348060465824,,,1208.62,,13.517025212184194,265.71685,1522.56132,40.712657603082064,58.22999954223633
2006-09-19,142.79802261402568,,,1206.42,,13.603956266101461,265.71685,1519.440069,39.61489402298651,56.91999816894531
2006-09-20,143.26724605972964,,,1207.44,,13.560490109508786,265.71685,1524.302277,39.13760614319149,57.2599983215332
2006-09-21,143.25931002365334,,,1207.12,,13.421403949191808,265.71685,1524.241305,39.56716596329052,57.95000076293945
2006-09-22,143.17220772629503,,,1206.35,,13.490955844226912,265.71685,1518.449188,39.080330286705774,58.5
2006-09-25,144.02312449250797,,,1206.99,,13.482258079543259,265.71685,1520.984998,39.13760614319149,58.5
2006-09-26,144.59342277273868,,,1208.24,,13.483664681997528,265.71685,1525.426275,39.423978142784996,58.7400016784668
2006-09-27,144.6836844972741,,,1209.55,,13.60121735801011,265.71685,1528.065262,40.07308995061962,59.810001373291016
2006-09-28,144.5957673545526,,,1211.49,,13.55384495180853,265.71685,1525.498112,39.93944992690382,59.790000915527344
2006-09-29,144.46184804355207,,,1212.39,,13.536295791734494,265.71685,1526.093057,40.159001914639425,59.470001220703125
2006-10-02,144.2376285351285,,,1212.8,,13.53278873010948,265.71685,1527.420758,39.40488619062308,59.150001525878906
2006-10-03,144.41277946537554,,,1211.8,,13.66437594896256,265.71685,1531.254584,38.450310431033046,57.11000061035156
2006-10-04,145.69146405859578,,,1213.84,,13.817020648782782,265.71685,1536.981476,38.82259439464636,56.369998931884766
2006-10-05,145.65892125045266,,,1217.95,,13.90124301704281,265.71685,1534.706743,39.1948819996772,56.91999816894531
2006-10-06,145.23548624365264,,,1217.52,,13.799482822121535,265.71685,1539.341557,39.519437903594515,56.9900016784668
2006-10-09,145.35701386747937,,,1218.23,,13.892472214810054,265.71685,1537.602102,39.948994082276,57.20000076293945
2006-10-10,145.12640773571334,,,1220.65,,13.89773343688162,265.71685,1544.259919,39.280793963697015,57.0
2006-10-11,144.95283258079513,,,1220.19,,13.860891030431699,265.71685,1547.502865,38.946690262989975,56.880001068115234
2006-10-12,145.74842264743054,,,1225.06,,13.99248328635713,265.71685,1552.191798,39.0707861313336,57.4900016784668
2006-10-13,145.87866502935736,,,1227.21,,14.127583863175664,265.71685,1554.768437,39.56716596329052,58.56999969482422
2006-10-16,146.11261079847048,,,1229.61,,14.187232873966925,265.71685,1552.856071,40.474013663184564,59.16999816894531
2006-10-17,145.89558913967366,,,1227.23,,14.117043789279304,265.71685,1543.492349,39.94899408227601,58.650001525878906
2006-10-18,145.99863018438518,,,1229.11,,14.20301654018162,265.71685,1551.873513,39.51943790359453,58.59000015258789
2006-10-19,146.09308947000136,,,1230.87,,14.167935849786778,265.71685,1542.531234,39.987177986599825,59.40999984741211
2006-10-20,146.09868549195738,,,1230.68,,14.150389208248916,265.71685,1549.272096,39.61489402298652,58.779998779296875
2006-10-23,146.34844411274486,,,1232.28,,14.217056120094469,265.71685,1558.846597,39.23306226258349,57.7599983215332
2006-10-24,146.69156984773016,,,1233.28,9.475995063781738,14.176707911287622,265.71685,1559.189543,39.7103501423785,58.16999816894531
2006-10-25,147.20579881796385,,,1235.03,9.536399841308594,14.248644860081352,265.71685,1556.492146,40.69356565092018,58.7599983215332
2006-10-26,147.68017464172507,,,1238.76,9.66476058959961,14.387249979988725,265.71685,1554.780004,40.235369723287064,59.290000915527344
2006-10-27,147.30216719095904,,,1237.19,9.596803665161133,14.294263105836382,265.71685,1547.67466,40.235369723287064,59.400001525878906
2006-10-30,147.26496727197028,,,1236.49,9.66098403930664,14.431116583833377,265.71685,1548.278253,39.08033028670579,59.900001525878906
2006-10-31,147.5092223814799,,,1236.9,9.679862976074219,14.41356742375934,268.09211,1546.683526,39.137606143191505,60.2400016784668
2006-11-01,147.10538249809497,,,1235.26,9.50997257232666,14.290743451530485,268.09211,1548.895284,39.137606143191505,61.36000061035156
2006-11-02,146.89288349165656,,,1235.32,9.475995063781738,14.015292409234645,268.09211,1548.244747,38.851234143598,61.91999816894531
2006-11-03,146.29711239442452,,,1236.38,9.506196975708008,13.878435153433385,268.09211,1547.377731,39.43352593957472,62.29999923706055
2006-11-06,147.35443781396714,,,1240.14,9.627007484436035,13.997745767696784,268.09211,1560.778022,39.758081843492036,61.88999938964844
2006-11-07,147.8944857163684,,,1241.98,9.657211303710938,13.866153511771353,268.09211,1567.364505,39.52898205896671,62.040000915527344
2006-11-08,148.21517726984192,,,1241.49,9.71384048461914,13.897733436881621,268.09211,1560.781575,39.891721867207835,61.11000061035156
2006-11-09,147.73350518996705,,,1241.59,9.585478782653809,13.932827979225433,268.09211,1556.864014,40.28309778298305,62.95000076293945
2006-11-10,147.89818108201277,,,1242.37,9.642111778259277,13.992483286357132,268.09211,1551.991029,39.6626220826825,62.4900016784668
2006-11-13,148.09139336778105,,,1242.37,9.683637619018555,14.017042791876932,268.09211,1554.707014,39.194881999677214,62.189998626708984
2006-11-14,148.88632405483477,,,1245.33,9.770467758178711,14.162665812838593,268.09211,1555.624291,39.10897003565741,61.630001068115234
